storage_issue_reported_l3m,approved_wh_govt_certificate,wh_age,transport_issue_l1y,temp_reg_mach,dist_from_hub,retail_shop_num,retail_distributor_ratio,workers_num,govt_check_l3m,product_wg_ton
0,6,14.0,3,0,253,5386,299.22222222222223,34.0,14,3070
31,1,14.0,1,0,62,3840,91.42857142857143,31.0,15,40082
19,4,8.0,0,0,159,5454,133.02439024390245,53.0,32,24072
25,2,16.0,2,0,58,5344,121.45454545454545,28.0,6,31096
31,5,14.0,0,0,154,6284,104.73333333333333,32.0,24,41141
33,4,14.0,0,1,232,4057,122.93939393939394,18.0,12,43139
15,2,14.0,3,0,220,4445,63.5,28.0,10,19093
30,2,25.0,0,0,238,6447,165.30769230769232,28.0,1,39080
8,4,3.0,0,0,181,9764,221.9090909090909,29.0,1,10083
19,4,14.0,1,0,263,4604,191.83333333333334,24.0,26,22128
14,3,14.0,1,0,176,4372,62.457142857142856,31.0,31,17063
30,2,23.0,0,0,60,3475,182.89473684210526,32.0,21,41078
10,5,9.0,0,0,105,5829,95.55737704918033,26.0,10,13144
15,1,14.0,0,0,195,4509,128.82857142857142,34.0,27,21070
13,2,14.0,2,0,253,3809,95.225,36.0,14,17096
11,2,14.0,3,1,73,3278,59.6,15.0,27,14094
15,3,23.0,0,1,153,5466,248.45454545454547,41.0,25,18100
31,4,20.0,2,1,141,2295,127.5,29.0,11,37055
27,5,24.0,0,0,250,4648,105.63636363636364,26.0,14,36145
13,2,14.0,1,0,248,5891,147.275,42.0,28,18082
20,3,14.0,4,0,192,3978,153.0,20.0,19,23057
25,1,14.0,0,0,224,4374,218.7,21.0,23,31103
25,2,25.0,0,0,56,4440,65.29411764705883,19.0,10,31057
20,2,11.0,0,1,227,4792,97.79591836734694,40.0,26,27099
6,4,14.0,0,0,237,4035,80.7,28.0,12,7085
16,5,12.0,0,0,180,5395,192.67857142857142,30.0,12,21074
5,3,14.0,3,0,105,5038,75.19402985074628,17.0,23,6143
0,6,14.0,0,0,135,6116,339.77777777777777,27.0,14,4074
20,4,11.0,2,0,269,4278,178.25,17.0,26,23079
30,4,14.0,0,0,208,4070,92.5,31.0,6,36129
36,4,24.0,0,0,102,7464,140.83018867924528,21.0,31,45055
16,3,14.0,2,1,268,4811,72.89393939393939,20.0,12,19070
26,4,26.0,0,1,216,6018,171.94285714285715,22.0,32,32114
6,2,14.0,2,0,210,3260,55.25423728813559,22.0,26,8085
5,5,14.0,2,1,246,5661,283.05,28.0,19,7073
17,1,14.0,0,1,261,5081,127.025,28.0,29,23101
4,2,14.0,0,0,243,4333,103.16666666666667,29.0,28,5055
5,2,14.0,1,1,153,5957,132.37777777777777,26.0,23,7096
5,5,14.0,0,0,87,4554,66.0,45.0,27,7083
22,4,14.0,0,0,243,5848,106.32727272727273,32.0,11,26140
6,2,14.0,0,0,221,5028,109.30434782608695,30.0,10,7103
19,5,17.0,0,0,218,4454,106.04761904761905,33.0,2,25121
24,2,17.0,0,1,193,3739,249.26666666666668,35.0,14,31151
23,4,26.0,0,0,170,7431,232.21875,18.0,32,28128
32,2,24.0,0,0,59,4943,112.3409090909091,20.0,29,42061
25,4,14.0,0,0,226,3963,146.77777777777777,25.0,21,29134
6,1,14.0,1,1,64,4142,76.70370370370371,21.0,28,9064
20,5,14.0,3,1,66,8757,136.828125,29.0,5,26134
20,5,10.0,3,0,190,5134,81.4920634920635,33.0,28,26126
20,5,11.0,0,0,247,3837,73.78846153846153,18.0,25,28070
23,5,15.0,0,1,75,4058,60.56716417910448,23.0,1,32100
6,4,14.0,0,0,108,4622,105.04545454545455,29.0,9,7096
19,4,16.0,1,0,123,4837,96.74,44.0,1,23127
16,1,9.0,0,1,137,4290,102.14285714285714,25.0,11,23075
24,2,16.0,0,1,130,5566,123.68888888888888,28.0,26,31073
0,6,14.0,0,0,183,5043,336.2,33.0,22,3128
24,1,15.0,0,1,109,6447,92.1,29.0,22,34110
18,3,10.0,0,0,180,7281,208.02857142857144,24.0,28,23149
34,4,25.0,1,0,236,4673,95.36734693877551,30.0,19,41150
23,2,24.0,0,1,63,4019,98.02439024390245,20.0,6,32142
10,4,14.0,0,0,223,8112,231.77142857142857,24.0,12,12134
5,3,2.0,0,0,131,3741,249.4,23.0,14,6114
4,5,2.0,2,0,232,3996,97.46341463414635,35.0,25,5151
15,2,14.0,4,0,222,4439,295.93333333333334,27.0,11,18121
20,2,12.0,0,0,81,4014,108.48648648648648,17.0,19,25062
29,4,21.0,0,0,61,5251,175.03333333333333,33.0,17,37134
20,5,14.0,2,0,63,3628,51.82857142857143,35.0,21,26080
28,2,23.0,0,0,66,4673,69.74626865671642,41.0,14,38080
24,2,26.0,0,0,130,6116,109.21428571428571,28.0,21,31109
17,2,14.0,0,0,172,4863,77.19047619047619,23.0,21,23137
38,2,24.0,0,0,201,5034,98.70588235294117,31.0,2,52107
19,2,14.0,5,0,139,4319,77.125,27.0,23,24145
23,4,10.0,0,0,164,5133,270.1578947368421,24.0,14,28079
24,2,22.0,2,0,268,4721,143.06060606060606,41.0,10,30104
15,5,10.0,0,1,190,6251,178.6,28.0,31,21077
4,4,3.0,0,1,125,5074,110.30434782608695,25.0,3,5062
30,4,23.0,0,1,206,3799,92.65853658536585,23.0,26,39132
12,4,9.0,0,0,72,3241,75.37209302325581,21.0,9,15108
11,4,14.0,1,1,72,4488,66.0,29.0,5,13133
17,3,14.0,4,0,116,4433,103.09302325581395,28.0,5,20070
5,3,14.0,0,0,147,5169,126.07317073170732,46.0,27,5095
11,4,14.0,0,0,178,3652,152.16666666666666,31.0,6,13119
23,1,16.0,0,1,251,5138,100.74509803921569,24.0,32,31068
26,4,14.0,0,0,176,4612,107.25581395348837,53.0,15,33107
25,1,21.0,1,1,164,3754,81.6086956521739,41.0,19,32096
11,4,7.0,0,0,156,4749,316.6,36.0,6,13056
20,3,13.0,0,0,103,6334,162.4102564102564,29.0,1,23117
14,4,14.0,4,1,151,5544,85.29230769230769,22.0,11,17131
18,4,11.0,0,0,239,5510,275.5,22.0,32,22070
11,5,14.0,1,0,148,5203,104.06,32.0,12,13059
16,5,11.0,0,1,94,5787,118.10204081632654,30.0,15,22151
28,1,20.0,1,1,186,4932,123.3,50.0,24,38128
17,3,21.0,0,0,71,3793,54.18571428571428,17.0,23,21121
17,5,9.0,0,0,266,4744,89.50943396226415,24.0,32,23113
15,2,14.0,0,0,163,4882,80.0327868852459,31.0,15,20136
15,4,8.0,0,0,64,6426,189.0,23.0,27,19109
15,3,6.0,0,0,241,4147,59.24285714285714,39.0,26,17119
6,5,14.0,5,0,234,4042,80.84,38.0,3,8126
6,2,14.0,2,0,149,6517,93.1,32.0,15,8148
19,3,13.0,0,0,252,4264,82.0,20.0,10,23129
13,5,14.0,3,1,173,7139,118.98333333333333,31.0,11,17095
5,4,14.0,3,0,255,3754,104.27777777777777,32.0,1,5099
22,5,21.0,0,1,157,4833,185.8846153846154,31.0,6,30122
0,6,0.0,0,0,256,4392,258.3529411764706,26.0,26,6107
20,3,7.0,0,0,121,5620,93.66666666666667,28.0,15,25128
21,1,14.0,0,0,185,4083,116.65714285714286,23.0,32,29115
5,4,14.0,0,0,187,7122,134.37735849056602,28.0,23,6056
18,5,17.0,0,0,204,5016,80.90322580645162,40.0,28,22091
19,1,14.0,3,1,224,3925,85.32608695652173,20.0,6,24120
27,1,14.0,1,1,149,6970,142.24489795918367,22.0,24,35077
4,5,2.0,1,1,238,4733,295.8125,22.0,21,6067
30,1,26.0,0,1,212,6022,98.72131147540983,25.0,30,40150
30,2,17.0,0,0,213,4722,121.07692307692308,25.0,12,40106
26,5,18.0,1,0,188,5385,92.84482758620689,19.0,23,34084
24,2,14.0,0,0,229,4145,76.75925925925925,30.0,26,30144
0,6,0.0,0,0,255,4070,58.142857142857146,27.0,5,7071
20,2,14.0,0,1,85,5849,89.98461538461538,34.0,32,26138
28,3,26.0,0,1,242,4158,59.4,29.0,11,34094
26,3,14.0,3,0,237,5613,330.1764705882353,39.0,9,30083
26,1,14.0,0,1,229,4098,273.2,30.0,28,34133
30,5,22.0,1,0,197,5479,105.36538461538461,31.0,23,39061
7,5,3.0,2,0,231,6382,163.64102564102564,29.0,1,9129
18,5,13.0,2,0,204,4377,150.93103448275863,25.0,14,22092
35,1,24.0,0,1,196,4574,175.92307692307693,33.0,9,46151
16,3,12.0,0,0,165,5760,169.41176470588235,26.0,27,20092
27,5,14.0,0,0,158,6535,125.67307692307692,29.0,14,34062
30,2,20.0,0,0,120,3210,61.73076923076923,32.0,26,41119
34,3,24.0,0,0,175,5921,111.71698113207547,31.0,12,40116
24,2,14.0,0,0,243,4300,91.48936170212765,27.0,28,30108
13,4,14.0,0,0,148,4094,62.03030303030303,14.0,28,16057
5,5,3.0,0,1,167,4492,128.34285714285716,27.0,27,6103
5,5,14.0,1,1,267,4779,164.79310344827587,24.0,31,7131
13,2,14.0,1,0,100,5644,115.18367346938776,28.0,28,17063
15,1,14.0,0,1,256,4029,61.04545454545455,32.0,22,21135
6,5,14.0,0,0,143,4577,183.08,25.0,21,8112
4,5,14.0,0,0,127,4918,98.36,30.0,23,5119
24,3,22.0,0,1,120,5736,260.72727272727275,19.0,15,28055
37,2,14.0,0,0,226,4225,281.6666666666667,33.0,29,50100
23,2,14.0,1,0,201,5091,181.82142857142858,27.0,9,29116
9,3,7.0,0,0,250,6958,257.7037037037037,42.0,14,11089
38,5,22.0,0,0,251,5031,218.7391304347826,34.0,17,52105
35,1,14.0,0,1,251,4955,130.39473684210526,32.0,24,50140
0,6,1.0,1,0,152,5190,79.84615384615384,34.0,14,6081
22,5,17.0,0,0,88,6891,191.41666666666666,34.0,7,28076
24,3,20.0,0,1,229,2946,79.62162162162163,33.0,23,31057
34,1,14.0,0,1,121,4608,104.72727272727273,32.0,26,48127
19,3,14.0,0,0,204,5166,224.6086956521739,31.0,26,22110
15,1,14.0,1,0,266,5520,86.25,31.0,13,18086
9,3,5.0,0,0,132,5141,190.40740740740742,40.0,14,11127
33,1,24.0,0,1,65,4482,112.05,20.0,19,43082
13,2,6.0,0,0,200,5323,102.36538461538461,34.0,26,19110
38,2,18.0,0,0,156,3203,62.80392156862745,30.0,26,51126
20,3,14.0,0,1,73,5801,134.90697674418604,30.0,10,26101
11,4,9.0,0,1,233,5418,129.0,24.0,15,13097
19,2,14.0,0,0,200,5366,86.54838709677419,32.0,12,24089
6,3,6.0,0,0,170,5285,151.0,29.0,15,6080
11,3,14.0,5,0,86,5035,193.65384615384616,29.0,1,13111
31,2,23.0,0,0,82,4635,71.3076923076923,34.0,9,42116
15,3,14.0,0,0,188,3660,70.38461538461539,24.0,16,17072
22,5,22.0,1,1,155,6376,95.16417910447761,35.0,23,30064
4,5,14.0,0,0,87,4557,123.16216216216216,37.0,26,5113
18,4,14.0,0,0,185,5134,233.36363636363637,42.0,31,23102
4,2,14.0,2,0,100,3730,120.3225806451613,33.0,10,5103
6,3,14.0,3,0,98,4728,181.84615384615384,28.0,19,7140
6,4,1.0,0,0,182,4662,133.2,16.0,9,7075
6,5,14.0,0,0,218,5837,208.46428571428572,34.0,27,8135
5,5,4.0,0,0,94,7947,227.05714285714285,18.0,14,6079
18,5,14.0,1,0,258,5210,127.07317073170732,36.0,16,23090
23,4,14.0,3,0,219,4534,105.44186046511628,44.0,9,27067
16,1,14.0,3,1,242,4037,93.88372093023256,34.0,5,21121
21,4,17.0,0,1,103,6533,408.3125,33.0,27,25099
0,6,2.0,0,0,223,8491,173.28571428571428,18.0,1,8062
17,1,14.0,0,0,77,4441,123.36111111111111,22.0,9,23107
22,3,14.0,0,1,68,5537,80.2463768115942,19.0,6,26134
4,4,1.0,0,0,102,6183,114.5,20.0,6,5131
13,3,14.0,0,0,122,2685,55.9375,24.0,6,16064
0,6,14.0,3,0,255,4791,111.4186046511628,36.0,19,3144
36,1,18.0,0,1,62,4887,101.8125,15.0,4,51088
11,4,8.0,2,0,228,5477,304.27777777777777,34.0,32,13129
14,1,18.0,1,1,63,5009,139.13888888888889,36.0,26,18127
23,4,23.0,1,0,197,5387,99.75925925925925,24.0,23,28056
18,1,9.0,0,1,62,6050,242.0,24.0,11,25091
18,2,14.0,4,1,268,5772,384.8,28.0,11,23135
19,1,12.0,0,1,104,6167,280.3181818181818,35.0,19,25145
27,5,14.0,2,0,109,4356,155.57142857142858,31.0,26,34079
24,3,27.0,0,0,174,4629,201.2608695652174,35.0,2,28095
19,5,7.0,0,1,246,5659,102.89090909090909,30.0,32,27135
26,1,14.0,0,1,223,4690,117.25,33.0,2,34066
24,1,19.0,0,1,122,4071,193.85714285714286,28.0,19,30060
24,2,17.0,0,1,62,5855,95.98360655737704,40.0,27,33074
27,2,14.0,1,0,143,7751,234.87878787878788,22.0,29,34113
9,2,14.0,2,0,228,4754,198.08333333333334,19.0,17,12143
5,3,3.0,0,0,69,4860,91.69811320754717,34.0,3,6057
10,5,5.0,0,0,268,7724,183.9047619047619,34.0,28,14096
6,5,5.0,0,1,221,4463,159.39285714285714,30.0,19,8131
24,1,22.0,0,1,140,4374,89.26530612244898,28.0,2,31069
8,5,1.0,0,0,91,5569,214.19230769230768,35.0,26,10138
24,5,14.0,0,0,231,3583,54.28787878787879,30.0,11,30096
17,3,11.0,0,0,103,5641,90.98387096774194,28.0,14,21142
20,1,17.0,0,1,176,5657,85.71212121212122,41.0,23,26079
17,3,12.0,0,0,228,4492,83.18518518518519,25.0,26,21095
9,5,14.0,0,0,245,4411,65.83582089552239,27.0,19,12121
29,2,21.0,1,1,232,4534,125.94444444444444,34.0,1,38088
9,1,10.0,0,1,126,4875,72.76119402985074,21.0,9,12065
30,5,26.0,0,1,269,5353,198.25925925925927,26.0,9,42090
11,5,14.0,3,0,254,6230,111.25,21.0,23,14131
24,5,14.0,0,0,184,4602,153.4,38.0,23,33121
25,1,21.0,0,1,251,3389,211.8125,26.0,32,32084
0,6,14.0,4,0,61,4761,89.83018867924528,58.0,19,3090
13,4,14.0,3,1,235,5852,278.6666666666667,29.0,15,16106
24,2,19.0,1,0,60,2964,49.4,24.0,25,30127
20,3,14.0,3,0,147,5064,168.8,25.0,15,23118
22,4,14.0,0,0,86,5159,143.30555555555554,24.0,32,25149
26,2,20.0,1,0,125,5032,78.625,22.0,19,34120
11,2,14.0,0,0,252,5400,138.46153846153845,31.0,32,15123
10,2,14.0,0,0,94,4944,206.0,32.0,13,13089
17,5,13.0,3,1,60,4923,246.15,24.0,12,22128
27,1,19.0,0,1,241,6153,100.8688524590164,28.0,26,38065
18,5,14.0,0,0,158,6137,105.8103448275862,16.0,15,25120
27,4,18.0,0,0,261,5152,107.33333333333333,14.0,2,33097
22,4,21.0,0,1,165,6697,223.23333333333332,45.0,27,26063
18,3,10.0,1,0,201,4960,177.14285714285714,30.0,31,22072
4,3,14.0,3,1,204,5270,195.1851851851852,29.0,15,4079
15,3,14.0,2,0,230,5915,394.3333333333333,47.0,7,17138
6,5,14.0,4,0,245,5693,158.13888888888889,34.0,19,7144
0,6,14.0,0,0,158,4076,60.83582089552239,36.0,12,4112
27,5,14.0,0,0,265,5419,102.24528301886792,21.0,21,33067
10,4,14.0,0,0,228,4793,95.86,22.0,22,12114
34,1,25.0,0,1,80,3848,124.12903225806451,33.0,19,47113
13,2,14.0,2,0,73,4989,106.14893617021276,20.0,12,17141
25,1,17.0,0,1,186,5261,175.36666666666667,23.0,27,32068
26,5,19.0,0,0,221,4248,128.72727272727272,29.0,14,33081
25,4,23.0,0,0,64,4855,97.1,18.0,19,28107
10,3,6.0,1,1,83,6214,282.45454545454544,35.0,1,13080
17,3,22.0,0,1,138,5739,229.56,22.0,14,20093
35,3,20.0,0,0,88,3653,70.25,31.0,17,44094
15,5,22.0,1,0,159,3422,180.10526315789474,31.0,29,19061
19,4,15.0,0,0,139,4811,320.73333333333335,29.0,21,22131
8,4,2.0,0,0,57,5457,77.95714285714286,20.0,10,10117
20,1,12.0,0,1,55,6810,144.89361702127658,35.0,32,29142
23,5,14.0,5,1,169,3583,58.73770491803279,40.0,19,30066
23,3,26.0,0,0,72,3277,71.23913043478261,23.0,23,26133
4,5,2.0,0,1,209,4485,64.07142857142857,24.0,24,5125
4,5,4.0,0,1,137,5464,248.36363636363637,34.0,23,6097
4,3,14.0,2,0,135,5078,74.67647058823529,24.0,14,4142
24,2,20.0,0,1,227,5025,119.64285714285714,22.0,26,34065
27,5,14.0,1,0,96,4512,94.0,14.0,6,34100
24,2,14.0,3,0,131,3875,242.1875,32.0,1,30063
4,1,14.0,3,1,181,5324,90.23728813559322,40.0,14,6140
24,4,26.0,4,1,73,3477,80.86046511627907,24.0,26,28134
26,2,14.0,0,0,205,4550,122.97297297297297,32.0,8,32117
5,2,14.0,2,0,241,5081,145.17142857142858,20.0,31,7096
15,3,10.0,4,0,63,5697,129.47727272727272,19.0,17,17061
11,3,14.0,0,0,223,3882,63.63934426229508,24.0,11,13082
20,3,8.0,0,0,155,4212,66.85714285714286,27.0,14,25071
24,1,14.0,0,1,149,5079,101.58,32.0,23,31119
0,6,2.0,0,0,90,3278,59.6,36.0,19,3066
6,1,14.0,0,1,145,5141,79.0923076923077,28.0,27,8056
25,2,20.0,0,0,193,6533,408.3125,14.0,19,31085
33,2,18.0,0,0,152,3954,106.86486486486487,28.0,26,43145
5,2,4.0,2,0,133,6483,360.1666666666667,24.0,27,7148
24,3,20.0,0,1,265,4887,92.20754716981132,25.0,19,28141
17,3,9.0,1,0,219,4875,118.90243902439025,30.0,12,20145
5,4,3.0,0,1,243,5789,87.71212121212122,29.0,26,6129
4,5,3.0,0,0,146,4715,117.875,35.0,32,5115
35,1,24.0,0,1,158,5159,78.16666666666667,29.0,29,49141
5,5,2.0,0,1,125,4269,67.76190476190476,20.0,23,7125
4,4,4.0,0,0,106,3816,190.8,29.0,6,4111
5,4,4.0,1,0,146,4571,126.97222222222223,17.0,23,6108
19,1,14.0,5,1,237,3150,112.5,35.0,20,25102
4,5,2.0,0,0,235,5731,112.37254901960785,28.0,32,6133
17,5,9.0,0,0,106,5579,94.55932203389831,27.0,26,22146
17,5,11.0,0,0,148,4648,132.8,47.0,5,23085
34,1,25.0,0,1,181,3410,94.72222222222223,46.0,1,48141
12,5,14.0,2,0,164,5065,133.28947368421052,34.0,29,15134
18,3,12.0,0,0,55,6175,363.2352941176471,20.0,24,23121
11,4,9.0,3,0,186,2565,75.44117647058823,25.0,23,13097
24,5,14.0,4,0,86,4341,114.23684210526316,19.0,2,30059
19,3,14.0,0,0,115,4012,250.75,48.0,10,22059
12,5,4.0,0,0,172,5439,181.3,24.0,29,17064
19,1,12.0,1,1,82,5064,76.72727272727273,37.0,1,25113
18,4,14.0,1,0,73,6030,98.85245901639344,27.0,22,21107
22,2,21.0,1,0,136,6066,94.78125,20.0,14,29088
16,2,14.0,3,0,111,4839,254.68421052631578,35.0,24,20148
33,3,14.0,0,0,147,5221,133.87179487179486,33.0,19,41119
8,5,14.0,0,0,119,4584,106.6046511627907,33.0,1,10139
9,1,14.0,0,0,118,5680,177.5,34.0,23,13083
32,2,14.0,0,0,116,5982,132.93333333333334,30.0,31,43082
25,2,16.0,4,0,67,4976,80.25806451612904,26.0,6,32151
18,1,15.0,0,1,194,6173,154.325,31.0,30,25150
25,1,14.0,0,0,122,5154,151.58823529411765,18.0,13,32121
39,2,27.0,0,0,126,4500,166.66666666666666,40.0,24,53123
22,2,25.0,0,0,200,5261,109.60416666666667,27.0,1,28111
18,4,14.0,0,0,266,5221,237.3181818181818,23.0,13,20111
29,2,25.0,0,1,178,3120,76.09756097560975,26.0,14,38123
17,2,14.0,2,0,114,4814,114.61904761904762,35.0,30,21126
10,1,6.0,1,1,197,4882,116.23809523809524,29.0,6,14071
24,2,14.0,2,0,86,4327,75.91228070175438,22.0,19,30127
9,3,7.0,1,0,73,5925,87.13235294117646,34.0,16,11086
5,5,3.0,0,0,222,5530,117.65957446808511,42.0,27,6072
20,4,10.0,0,1,234,4477,63.957142857142856,39.0,25,26113
21,1,8.0,0,1,166,4946,72.73529411764706,36.0,24,31144
27,5,17.0,2,1,270,4242,80.0377358490566,29.0,9,36057
4,5,14.0,4,0,224,3654,140.53846153846155,34.0,19,6079
21,5,14.0,0,0,175,4811,98.18367346938776,38.0,24,28125
14,1,14.0,3,1,108,6910,222.90322580645162,29.0,6,18109
36,1,19.0,1,1,153,3891,69.48214285714286,28.0,19,48117
9,1,14.0,1,0,199,4674,116.85,24.0,14,13117
29,2,19.0,1,0,206,4576,72.63492063492063,30.0,3,37095
11,4,7.0,0,1,69,4596,199.82608695652175,55.0,26,13114
14,4,6.0,0,0,85,3872,88.0,30.0,14,17113
19,2,13.0,0,0,74,6210,326.8421052631579,33.0,26,24074
32,2,17.0,1,1,120,4007,85.25531914893617,16.0,11,43147
18,5,14.0,2,0,62,6849,244.60714285714286,26.0,17,24091
5,1,5.0,0,1,110,4388,219.4,31.0,32,7136
17,1,14.0,1,1,139,5683,149.55263157894737,30.0,17,23117
16,1,14.0,3,1,86,4445,296.3333333333333,19.0,19,21096
0,6,0.0,0,0,85,6409,114.44642857142857,29.0,32,7111
24,2,14.0,0,0,239,4851,95.11764705882354,37.0,22,31142
4,1,14.0,1,1,75,4909,77.92063492063492,25.0,29,6094
12,2,14.0,0,1,102,5385,89.75,30.0,17,16147
25,3,14.0,0,0,256,4308,63.35294117647059,26.0,14,28149
5,2,7.0,0,0,92,3559,187.31578947368422,30.0,26,6109
5,5,14.0,2,1,96,4657,310.46666666666664,29.0,26,6122
26,2,18.0,0,0,82,5099,121.4047619047619,30.0,19,33141
18,3,14.0,0,0,129,5465,95.87719298245614,28.0,14,22111
14,4,14.0,3,1,223,4192,232.88888888888889,38.0,23,16115
16,3,14.0,3,0,77,4855,89.9074074074074,26.0,19,19133
6,2,14.0,0,1,200,6530,326.5,21.0,6,8122
14,4,14.0,2,0,143,5692,316.22222222222223,29.0,1,16074
9,1,8.0,0,1,178,8665,192.55555555555554,28.0,25,12057
9,3,3.0,0,0,146,7687,366.04761904761904,29.0,27,11086
25,1,14.0,0,1,237,8562,450.63157894736844,32.0,24,33118
22,2,14.0,1,0,86,5354,191.21428571428572,26.0,12,27068
19,2,14.0,0,0,241,5867,143.09756097560975,35.0,28,24082
14,4,26.0,2,1,56,6145,90.36764705882354,18.0,18,17134
12,2,11.0,3,1,103,4610,209.54545454545453,20.0,32,16056
36,4,20.0,0,0,173,4981,74.34328358208955,39.0,6,45143
24,4,24.0,0,0,224,4556,207.0909090909091,26.0,30,27077
4,3,14.0,1,1,154,4798,208.6086956521739,35.0,11,5104
24,3,14.0,1,0,99,6837,117.87931034482759,27.0,8,29151
7,4,14.0,2,0,185,4509,109.97560975609755,23.0,23,8126
4,3,2.0,2,0,143,4367,68.234375,20.0,28,5095
36,4,24.0,0,0,160,5037,71.95714285714286,35.0,28,45144
35,1,14.0,0,0,204,3347,47.81428571428572,28.0,26,47131
25,1,18.0,0,1,260,5325,102.40384615384616,18.0,25,32090
4,3,14.0,0,1,187,5816,161.55555555555554,25.0,26,5101
24,5,20.0,0,0,92,5701,356.3125,31.0,10,32070
24,2,20.0,0,0,75,4737,263.1666666666667,41.0,5,31100
18,3,18.0,1,0,153,4666,233.3,21.0,14,21087
27,4,14.0,0,0,112,7139,183.05128205128204,22.0,12,34134
33,4,25.0,0,1,97,5115,86.69491525423729,36.0,26,43129
20,2,13.0,0,0,72,4503,73.81967213114754,24.0,14,25081
12,1,6.0,0,1,258,4406,129.58823529411765,29.0,11,17100
28,3,17.0,1,0,209,4926,79.45161290322581,38.0,19,34146
5,2,14.0,0,0,235,5362,111.70833333333333,30.0,24,6071
35,4,19.0,0,0,139,5620,295.7894736842105,25.0,14,44096
0,6,14.0,3,0,140,3408,136.32,39.0,18,3127
19,1,15.0,0,1,234,4086,62.86153846153846,26.0,12,24078
9,5,9.0,1,0,221,6000,176.47058823529412,30.0,26,12128
10,1,14.0,5,0,260,3142,157.1,26.0,28,13099
34,5,19.0,0,0,84,2686,42.63492063492063,43.0,6,45127
25,2,15.0,1,1,229,6833,262.8076923076923,31.0,14,34129
25,2,14.0,2,0,208,4497,77.53448275862068,45.0,3,32105
35,1,20.0,0,1,258,3896,68.35087719298245,31.0,28,46107
0,6,1.0,0,0,228,3471,82.64285714285714,29.0,11,14097
11,2,7.0,0,1,79,4717,89.0,28.0,11,15095
18,5,14.0,0,0,191,6417,94.36764705882354,33.0,15,23146
22,3,26.0,0,1,84,5418,83.35384615384615,30.0,13,26067
30,3,23.0,0,0,199,4385,65.44776119402985,21.0,26,37136
24,5,14.0,0,0,129,4352,94.6086956521739,42.0,26,30109
20,5,17.0,2,1,94,4950,159.67741935483872,32.0,13,27122
5,2,14.0,1,0,99,4484,80.07142857142857,21.0,17,7062
9,3,6.0,2,0,223,5038,114.5,33.0,29,10060
10,1,9.0,4,1,188,3832,100.84210526315789,30.0,28,14081
13,4,14.0,1,0,175,9235,279.8484848484849,60.0,21,15083
14,3,14.0,0,0,93,4607,66.76811594202898,35.0,21,16094
27,1,20.0,0,1,204,4997,118.97619047619048,44.0,27,39084
14,1,14.0,5,1,94,4786,140.76470588235293,28.0,24,19100
10,3,3.0,0,0,74,4745,128.24324324324326,30.0,18,12063
24,1,14.0,0,1,209,2359,73.71875,22.0,23,31127
19,3,14.0,0,1,121,5728,179.0,28.0,17,23076
30,4,23.0,0,1,186,3622,61.389830508474574,37.0,26,39104
18,3,13.0,0,0,210,4593,68.55223880597015,44.0,1,22143
34,5,14.0,0,0,128,5879,244.95833333333334,24.0,28,44092
9,1,14.0,0,0,123,3888,63.73770491803279,19.0,9,12151
34,2,26.0,0,0,268,5794,275.9047619047619,31.0,12,46146
7,2,4.0,0,0,133,2944,128.0,20.0,30,9144
32,5,26.0,0,0,101,4751,263.94444444444446,33.0,27,43061
25,1,18.0,3,1,101,5805,161.25,28.0,14,32094
14,1,12.0,0,1,243,4178,119.37142857142857,28.0,25,20060
13,2,5.0,0,1,168,4855,202.29166666666666,35.0,15,18077
17,2,14.0,0,1,224,5589,151.05405405405406,21.0,30,24085
5,4,2.0,2,1,147,3515,130.1851851851852,36.0,18,6122
25,3,19.0,0,0,247,5067,75.6268656716418,38.0,29,30114
18,4,14.0,4,0,189,4353,103.64285714285714,27.0,6,20107
5,5,3.0,0,1,239,5065,180.89285714285714,28.0,14,7072
32,5,19.0,0,0,115,4500,236.8421052631579,19.0,31,42124
24,4,14.0,0,0,75,4206,140.2,28.0,9,27073
27,3,14.0,1,0,100,4062,64.47619047619048,36.0,32,31128
9,3,5.0,1,0,178,4171,101.73170731707317,42.0,10,11067
8,3,6.0,0,0,71,6023,200.76666666666668,34.0,23,10082
35,5,14.0,0,0,75,4595,95.72916666666667,29.0,19,48116
6,4,6.0,0,0,261,4479,75.91525423728814,25.0,10,7088
18,2,14.0,3,0,124,4671,212.3181818181818,23.0,9,23131
27,1,21.0,0,1,84,3891,82.7872340425532,29.0,21,38121
23,2,14.0,1,0,230,5320,161.21212121212122,20.0,19,29081
24,1,12.0,1,1,75,6299,273.8695652173913,27.0,23,31136
21,2,14.0,0,0,219,4946,159.5483870967742,52.0,12,29131
0,6,0.0,0,0,179,3995,79.9,40.0,14,6149
24,3,14.0,4,0,222,2323,34.67164179104478,26.0,26,27138
6,5,14.0,2,1,204,4744,84.71428571428571,41.0,8,8076
7,1,14.0,0,1,179,5172,84.78688524590164,45.0,19,10136
9,2,8.0,0,0,117,4939,98.78,28.0,15,12079
4,5,14.0,3,0,251,6364,141.42222222222222,28.0,24,5115
7,5,14.0,0,0,222,5172,83.41935483870968,28.0,1,9109
15,2,14.0,3,0,267,3200,46.3768115942029,41.0,26,19114
20,3,15.0,0,1,57,5034,114.4090909090909,22.0,10,24128
17,1,14.0,1,1,114,5180,140.0,27.0,32,23088
