Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,wh_age
Rural,Mid,North,Zone 2,8,3,4,5299,Rented,45,0,0,1,155,35.0,22,1,C,4,12,29129,19.0
Rural,Large,North,Zone 5,1,0,4,5066,Rented,24,1,0,1,195,34.0,35,1,A,6,5,50147,14.0
Rural,Mid,West,Zone 2,2,0,3,5070,Rented,66,0,0,0,261,13.0,25,1,A,4,12,33058,14.0
Rural,Large,West,Zone 5,5,0,2,3711,Company Owned,66,0,0,1,170,34.0,5,1,B,2,25,6092,7.0
Rural,Mid,South,Zone 3,3,2,2,8080,Company Owned,21,1,0,1,157,33.0,18,0,B+,6,27,20138,14.0
Rural,Mid,West,Zone 2,8,1,2,8775,Company Owned,44,0,0,1,266,55.0,27,0,B,2,1,32144,24.0
Rural,Mid,South,Zone 3,6,0,2,4470,Rented,36,0,0,0,127,22.0,28,0,B,2,19,35082,16.0
Rural,Mid,South,Zone 4,1,0,1,5962,Rented,48,0,0,0,136,22.0,18,0,B,2,11,20115,14.0
Rural,Mid,South,Zone 2,5,0,2,4582,Company Owned,65,0,0,0,93,22.0,12,0,B+,6,1,14092,14.0
Rural,Small,South,Zone 6,1,2,2,4971,Rented,62,0,0,1,193,34.0,15,1,B+,2,2,19131,14.0
Rural,Mid,North,Zone 4,8,0,4,3233,Rented,50,0,0,0,268,27.0,29,0,B,5,26,37143,19.0
Rural,Large,West,Zone 6,3,0,3,4565,Rented,50,0,0,1,245,31.0,20,0,A,1,23,28058,10.0
Rural,Large,West,Zone 6,6,1,3,4637,Rented,62,0,0,0,221,23.0,15,0,A,3,29,18120,14.0
Urban,Small,South,Zone 6,2,0,2,4552,Company Owned,52,0,1,1,94,28.0,38,0,C,6,9,52151,14.0
Rural,Large,North,Zone 6,0,3,4,4937,Rented,56,0,0,1,259,26.0,5,0,B+,3,4,6056,14.0
Rural,Small,North,Zone 6,7,1,2,4858,Company Owned,25,0,0,0,82,21.0,11,0,B+,2,15,14075,11.0
Rural,Mid,West,Zone 2,7,2,5,5210,Company Owned,70,0,0,1,153,34.0,25,0,B+,4,12,28130,14.0
Rural,Small,North,Zone 1,5,3,3,9123,Company Owned,61,1,0,1,171,44.0,14,1,A+,3,30,19118,14.0
Rural,Large,North,Zone 6,5,0,2,4763,Rented,59,0,0,1,165,31.0,5,0,A,3,23,6149,5.0
Rural,Mid,North,Zone 2,8,1,4,5011,Rented,67,0,0,1,155,23.0,38,1,A+,5,22,51093,19.0
Rural,Mid,South,Zone 2,5,0,2,4842,Rented,55,1,0,1,178,28.0,33,0,B+,2,32,41134,21.0
Rural,Large,West,Zone 6,1,0,4,4343,Company Owned,53,0,0,1,137,34.0,21,0,C,5,6,27068,14.0
Rural,Mid,South,Zone 2,1,0,2,5501,Rented,64,0,0,0,186,26.0,18,0,A,4,1,22122,14.0
Rural,Large,North,Zone 5,4,0,2,5182,Company Owned,52,0,0,1,236,29.0,33,1,A+,2,24,46100,19.0
Urban,Mid,North,Zone 3,4,0,2,7367,Rented,15,0,0,1,185,27.0,9,1,A+,1,27,13059,6.0
Rural,Mid,North,Zone 4,3,0,4,4200,Company Owned,68,1,0,1,179,31.0,22,1,A+,4,26,31119,22.0
Rural,Large,North,Zone 6,6,0,4,3511,Rented,32,0,0,0,205,17.0,20,0,B+,6,23,23083,16.0
Rural,Large,North,Zone 6,4,2,4,3789,Company Owned,36,0,1,1,137,28.0,22,0,B+,6,28,26072,14.0
Rural,Large,North,Zone 5,6,0,2,3508,Company Owned,33,0,0,1,249,30.0,12,1,B+,2,14,14121,14.0
Urban,Large,North,Zone 6,7,0,3,4822,Rented,67,0,0,0,126,23.0,30,0,A,2,6,40106,23.0
Rural,Mid,South,Zone 3,7,2,2,5038,Rented,68,0,0,1,176,28.0,18,1,A+,4,19,23131,15.0
Urban,Large,North,Zone 6,3,0,3,4624,Company Owned,36,0,0,1,124,48.0,23,1,C,5,29,32135,15.0
Rural,Large,North,Zone 6,0,3,3,5794,Company Owned,37,0,0,1,246,22.0,11,0,B,3,4,12086,14.0
Rural,Small,North,Zone 1,8,0,3,4803,Company Owned,70,0,1,1,187,28.0,9,0,C,2,31,11104,6.0
Rural,Mid,West,Zone 2,2,0,3,4287,Rented,15,0,0,0,136,17.0,22,0,B,5,1,26061,14.0
Rural,Large,West,Zone 5,0,0,3,3960,Rented,36,0,0,0,91,19.0,24,0,A+,2,10,30116,14.0
Rural,Small,South,Zone 6,0,3,2,6907,Rented,67,1,1,1,146,29.0,5,0,A,2,2,7071,14.0
Rural,Large,West,Zone 6,8,1,3,3467,Rented,19,0,0,0,85,27.0,16,1,A+,5,6,21087,15.0
Rural,Large,North,Zone 6,8,1,4,5732,Company Owned,63,0,0,1,218,27.0,19,1,A+,6,29,24081,21.0
Rural,Large,North,Zone 5,6,0,2,5231,Company Owned,47,0,0,1,162,28.0,27,0,A,5,17,34071,14.0
Urban,Mid,West,Zone 4,5,2,2,5044,Rented,27,1,1,1,258,38.0,16,1,A,6,11,21118,14.0
Rural,Mid,North,Zone 3,7,0,3,3491,Rented,28,0,0,0,169,20.0,16,0,C,3,19,20147,16.0
Rural,Mid,East,Zone 3,8,0,5,6294,Company Owned,68,0,0,1,84,29.0,28,0,B,2,27,35069,20.0
Rural,Small,South,Zone 6,7,2,2,4402,Rented,57,0,0,1,217,38.0,7,1,A+,2,9,9091,14.0
Rural,Mid,South,Zone 2,8,1,4,4816,Rented,59,0,0,0,203,14.0,10,0,C,2,32,13141,9.0
Rural,Small,South,Zone 6,7,0,4,5295,Company Owned,45,0,0,1,133,30.0,15,1,C,2,2,19115,14.0
Rural,Mid,South,Zone 2,0,0,2,3769,Company Owned,44,0,0,0,101,22.0,25,0,A,5,1,32100,14.0
Rural,Large,North,Zone 6,0,0,3,4612,Company Owned,38,0,0,1,248,29.0,7,0,A,1,28,8066,14.0
Rural,Small,South,Zone 1,3,0,4,6353,Rented,38,0,1,0,149,22.0,23,1,B+,3,21,30119,22.0
Rural,Mid,North,Zone 3,1,0,2,3125,Rented,21,0,0,0,72,17.0,5,0,C,6,27,7146,14.0
Rural,Large,South,Zone 5,0,0,2,4309,Company Owned,21,0,0,1,209,40.0,35,0,A+,6,10,47067,14.0
Rural,Mid,North,Zone 4,4,4,2,4872,Rented,44,0,0,0,243,37.0,10,1,B,5,26,12097,10.0
Rural,Large,North,Zone 5,1,1,3,6722,Rented,49,0,0,1,67,34.0,22,0,B+,2,17,26082,14.0
Rural,Large,South,Zone 6,7,0,3,5347,Rented,34,0,0,1,125,32.0,31,1,A+,2,23,40113,19.0
Rural,Mid,South,Zone 3,8,1,2,3818,Company Owned,50,0,0,1,196,25.0,9,1,A+,5,19,12138,10.0
Rural,Mid,South,Zone 3,5,0,2,4714,Company Owned,55,0,0,0,139,25.0,11,1,A+,6,27,16126,6.0
Rural,Large,West,Zone 5,6,1,5,5856,Company Owned,51,0,0,1,223,39.0,5,1,A+,2,25,7102,14.0
Rural,Mid,South,Zone 2,3,5,2,5886,Rented,53,0,0,0,128,23.0,16,1,A,2,32,21133,14.0
Rural,Mid,North,Zone 4,6,0,4,5541,Company Owned,35,0,0,1,200,32.0,21,1,A+,3,26,30069,11.0
Urban,Large,North,Zone 6,1,1,2,3933,Rented,40,0,0,1,222,21.0,19,0,B+,2,28,22065,14.0
Rural,Large,West,Zone 5,0,0,2,5084,Company Owned,46,1,0,1,139,34.0,13,0,B,6,14,15063,14.0
Rural,Small,West,Zone 1,2,0,3,3357,Rented,50,0,0,1,74,29.0,9,0,A,2,3,13111,14.0
Rural,Mid,North,Zone 2,8,0,4,4766,Rented,58,0,0,0,112,19.0,16,0,B+,6,22,21148,16.0
Rural,Large,North,Zone 5,8,0,2,5081,Company Owned,17,0,0,1,237,47.0,37,1,A+,2,14,49057,25.0
Urban,Small,South,Zone 1,7,0,2,5936,Rented,53,0,0,0,231,28.0,14,1,A+,4,31,18098,14.0
Rural,Large,South,Zone 6,6,2,2,4529,Company Owned,60,0,0,1,173,35.0,10,0,C,2,29,12057,9.0
Rural,Large,North,Zone 6,6,0,4,4527,Company Owned,55,0,0,1,222,35.0,0,0,Unknown,0,29,11077,0.0
Rural,Large,South,Zone 6,4,2,2,5636,Rented,32,0,0,0,140,14.0,4,1,C,1,29,6123,14.0
Rural,Large,South,Zone 6,8,3,4,4210,Company Owned,49,0,0,0,120,23.0,6,1,C,4,29,8118,14.0
Rural,Mid,South,Zone 2,1,1,2,4973,Rented,51,0,0,0,166,27.0,11,0,A+,6,32,14088,14.0
Rural,Large,North,Zone 5,7,3,3,3513,Company Owned,15,0,0,1,253,29.0,15,1,B,3,24,19150,14.0
Rural,Large,North,Zone 6,3,0,2,5631,Company Owned,39,0,0,1,258,34.0,25,1,A+,6,6,32061,24.0
Rural,Large,West,Zone 6,6,0,5,5078,Company Owned,51,0,1,1,107,29.0,9,0,B+,2,23,12117,5.0
Rural,Large,North,Zone 5,2,0,3,5118,Rented,21,0,0,0,205,30.0,20,1,A,5,17,29122,14.0
Rural,Large,West,Zone 5,8,1,2,5279,Rented,15,0,0,0,125,16.0,9,1,B,3,14,11128,14.0
Rural,Large,North,Zone 6,3,1,4,6207,Company Owned,26,0,0,1,132,28.0,20,0,B,4,28,23136,14.0
Rural,Large,West,Zone 5,8,0,2,4980,Rented,22,0,0,0,245,18.0,24,0,A,2,14,31118,15.0
Rural,Large,North,Zone 6,7,2,1,5498,Rented,40,0,0,0,151,25.0,16,1,C,4,6,21073,14.0
Rural,Small,North,Zone 1,8,2,2,4905,Company Owned,35,0,0,1,84,38.0,6,0,C,1,31,8131,3.0
Rural,Mid,North,Zone 3,5,5,2,6227,Company Owned,58,0,0,1,199,38.0,18,0,B,4,27,21061,14.0
Rural,Mid,West,Zone 3,6,0,5,4238,Rented,37,0,0,1,70,33.0,18,0,C,6,19,23078,13.0
Rural,Large,West,Zone 5,4,0,4,4844,Rented,23,0,0,1,271,28.0,6,0,A,1,14,8083,3.0
Rural,Large,North,Zone 5,8,0,2,5187,Company Owned,25,0,0,0,79,36.0,32,0,A,6,24,44088,17.0
Urban,Small,West,Zone 1,5,0,4,4440,Rented,46,0,0,0,88,26.0,25,1,A+,5,30,32064,21.0
Rural,Large,North,Zone 5,0,2,4,3743,Rented,36,0,0,0,61,16.0,27,0,A+,3,24,34090,14.0
Rural,Large,North,Zone 6,4,2,4,5306,Rented,26,0,0,1,242,53.0,10,0,C,4,28,12102,14.0
Rural,Mid,West,Zone 3,7,3,3,4064,Company Owned,62,0,0,0,199,41.0,21,0,B,2,19,24107,14.0
Rural,Mid,West,Zone 4,0,0,5,4508,Company Owned,62,0,0,0,147,27.0,26,0,A,4,26,33089,14.0
Rural,Mid,North,Zone 2,0,0,3,5007,Company Owned,67,0,0,0,134,36.0,19,0,A+,6,1,24143,14.0
Rural,Large,North,Zone 6,7,0,4,4635,Company Owned,41,0,0,1,216,22.0,15,0,B+,6,28,18130,8.0
Rural,Small,West,Zone 6,7,0,4,3412,Company Owned,31,1,0,1,177,36.0,9,0,B+,6,15,11119,7.0
Urban,Mid,West,Zone 4,6,0,4,3604,Rented,34,0,0,1,107,41.0,10,0,A,2,11,13149,7.0
Rural,Mid,North,Zone 4,6,0,2,4408,Company Owned,51,1,0,1,135,30.0,5,0,C,1,26,6071,2.0
Urban,Mid,South,Zone 2,8,0,3,4895,Rented,49,0,0,1,177,32.0,16,0,B+,6,32,19125,16.0
Rural,Large,North,Zone 5,5,2,2,5115,Rented,56,0,0,1,182,33.0,4,0,A,3,17,5059,14.0
Rural,Mid,North,Zone 3,7,1,3,4711,Rented,27,0,0,0,122,18.0,19,1,A+,5,27,25080,19.0
Rural,Small,South,Zone 6,1,2,2,4776,Company Owned,64,1,0,1,121,24.0,20,0,A+,2,2,26109,14.0
Rural,Large,North,Zone 6,4,0,2,6982,Company Owned,33,0,0,1,258,28.0,9,1,A+,4,29,12135,6.0
Rural,Large,West,Zone 6,7,3,2,5662,Rented,34,0,0,0,203,20.0,6,0,B+,2,6,7146,14.0
Rural,Large,West,Zone 5,0,0,3,5091,Rented,57,0,0,0,231,24.0,14,0,B,5,10,16105,14.0
Rural,Mid,North,Zone 2,0,2,1,5645,Company Owned,30,1,1,1,259,41.0,12,0,A+,3,18,16058,14.0
Urban,Small,North,Zone 1,8,1,2,3938,Rented,27,0,0,0,150,29.0,24,1,A,4,3,31149,16.0
Urban,Mid,West,Zone 3,0,0,4,3713,Rented,49,0,0,0,77,30.0,27,0,B,4,19,31073,14.0
Rural,Mid,South,Zone 4,6,0,2,4831,Company Owned,28,0,0,1,185,45.0,25,1,B+,2,11,30068,14.0
Rural,Large,North,Zone 5,5,0,3,4834,Company Owned,21,0,0,1,108,32.0,13,1,A+,3,14,16099,10.0
Urban,Large,South,Zone 5,4,0,2,5309,Company Owned,69,0,0,1,216,42.0,36,0,C,6,14,48096,22.0
Rural,Mid,South,Zone 4,0,0,2,4894,Rented,29,0,0,1,261,26.0,15,0,B,6,26,17143,14.0
Urban,Large,North,Zone 5,5,0,2,4820,Company Owned,34,0,0,1,211,21.0,33,0,C,2,14,43116,24.0
Rural,Small,North,Zone 6,8,0,2,4155,Rented,31,0,0,1,80,34.0,18,0,B,6,8,23081,15.0
Rural,Large,West,Zone 6,5,1,3,4543,Company Owned,44,0,0,1,210,44.0,26,0,B+,2,23,31133,16.0
Rural,Mid,West,Zone 3,0,5,3,4977,Company Owned,63,0,0,1,232,21.0,14,0,C,5,19,18104,14.0
Rural,Large,West,Zone 6,5,1,4,3779,Company Owned,56,0,0,1,81,23.0,30,1,A,4,23,40121,25.0
Rural,Mid,South,Zone 2,8,0,2,4072,Rented,63,0,0,0,173,22.0,4,1,A+,2,12,6134,14.0
Rural,Large,North,Zone 6,6,1,2,5022,Rented,64,0,0,1,198,26.0,11,1,A,6,23,15124,7.0
Rural,Mid,North,Zone 3,5,0,2,4883,Company Owned,41,0,0,0,173,22.0,18,0,C,6,19,23066,11.0
Rural,Large,South,Zone 6,7,0,2,5999,Company Owned,22,0,0,0,95,34.0,0,0,Unknown,0,29,13055,0.0
Rural,Mid,South,Zone 4,6,0,3,4842,Company Owned,62,1,1,0,190,24.0,25,0,B+,5,20,29149,21.0
Rural,Mid,North,Zone 4,5,2,2,3637,Rented,61,0,1,1,111,28.0,6,0,B,2,26,6068,14.0
Rural,Small,West,Zone 6,4,0,3,5127,Company Owned,20,1,0,1,255,28.0,11,1,A,1,2,16085,5.0
Rural,Large,North,Zone 6,0,0,4,5078,Company Owned,30,0,0,1,206,26.0,14,0,A,4,28,18092,14.0
Rural,Mid,West,Zone 4,3,0,4,4444,Rented,33,0,0,1,183,29.0,24,0,B,2,11,28089,18.0
Rural,Large,West,Zone 5,6,0,4,3496,Company Owned,53,0,0,1,142,24.0,9,1,A+,5,14,13125,14.0
Urban,Mid,West,Zone 4,6,0,4,3783,Company Owned,50,0,0,1,133,25.0,23,1,A+,4,26,32094,24.0
Rural,Mid,West,Zone 4,4,1,3,4300,Company Owned,64,0,0,1,162,31.0,19,0,B,4,26,22117,12.0
Rural,Large,North,Zone 6,6,0,3,3565,Rented,64,0,0,1,188,30.0,4,0,C,1,28,5138,4.0
Rural,Mid,North,Zone 2,8,0,4,3628,Rented,25,0,0,1,99,20.0,6,0,B+,1,22,7057,5.0
Urban,Large,North,Zone 5,5,4,3,4226,Company Owned,20,0,0,0,254,43.0,20,0,A,4,10,25133,14.0
Rural,Small,South,Zone 1,8,0,2,5088,Company Owned,27,0,0,0,249,27.0,12,1,C,3,16,15108,7.0
Rural,Large,North,Zone 5,1,0,2,4617,Company Owned,23,0,0,1,58,37.0,7,0,B,2,5,9056,14.0
Rural,Small,South,Zone 1,1,0,2,3968,Company Owned,60,0,0,1,161,20.0,18,0,B+,4,21,23129,14.0
Rural,Mid,North,Zone 3,2,0,3,5282,Rented,67,0,0,0,205,20.0,25,0,B+,4,27,29149,14.0
Rural,Mid,South,Zone 3,8,1,2,4196,Company Owned,68,0,0,1,107,28.0,6,0,C,1,19,8143,5.0
Rural,Mid,West,Zone 2,5,0,3,4856,Company Owned,64,0,0,1,269,37.0,22,1,A+,2,1,29059,13.0
Rural,Small,East,Zone 1,4,0,8,4917,Company Owned,23,0,0,1,128,28.0,20,0,B,5,31,24143,15.0
Urban,Large,North,Zone 5,8,1,1,5123,Company Owned,68,1,0,1,231,36.0,37,1,A+,4,14,49076,24.0
Rural,Large,West,Zone 6,4,1,2,4624,Company Owned,64,0,0,1,206,39.0,22,0,C,2,23,27061,14.0
Rural,Large,North,Zone 6,8,3,2,4801,Rented,16,0,0,0,84,20.0,4,0,B+,1,28,4068,14.0
Rural,Large,West,Zone 6,8,1,5,4164,Rented,33,0,0,0,116,42.0,12,0,C,6,6,15113,14.0
Rural,Large,West,Zone 6,7,3,4,4060,Rented,48,0,0,1,188,27.0,7,1,A,3,23,10111,14.0
Rural,Small,West,Zone 6,8,1,4,5724,Company Owned,45,0,0,1,209,29.0,10,1,A+,5,15,14124,7.0
Rural,Mid,East,Zone 4,6,3,5,4661,Rented,42,0,0,1,131,26.0,14,0,B+,4,26,16144,14.0
Rural,Small,West,Zone 6,4,0,4,6664,Rented,45,0,0,0,119,21.0,23,1,B,4,15,29147,14.0
Rural,Small,West,Zone 6,0,1,4,5161,Rented,28,1,0,1,97,45.0,9,0,A+,1,9,12067,14.0
Rural,Mid,North,Zone 3,5,0,4,4407,Company Owned,61,0,0,1,67,32.0,23,0,A,2,19,29069,17.0
Rural,Large,North,Zone 5,3,0,3,5173,Rented,27,0,0,1,239,40.0,13,1,A+,2,24,19087,4.0
Rural,Small,South,Zone 6,2,3,2,6021,Rented,26,0,0,1,172,30.0,22,0,B+,4,9,25079,14.0
Rural,Mid,West,Zone 2,3,0,4,4804,Company Owned,68,0,0,0,168,31.0,30,1,B+,4,1,39150,16.0
Rural,Mid,North,Zone 3,8,0,4,4802,Rented,21,0,0,0,168,39.0,27,0,A,5,19,34147,22.0
Rural,Large,West,Zone 5,7,0,4,4313,Rented,40,0,0,0,248,24.0,4,0,C,1,25,5106,1.0
Rural,Large,South,Zone 5,1,0,2,4467,Company Owned,55,0,0,1,102,31.0,21,0,A,6,25,26110,14.0
Rural,Large,West,Zone 5,2,0,3,5475,Rented,22,0,0,0,155,28.0,29,0,C,2,14,39055,14.0
Rural,Small,West,Zone 1,7,0,2,4893,Rented,31,0,0,1,145,26.0,33,0,B,3,3,41115,26.0
Rural,Large,North,Zone 6,1,3,3,4881,Rented,44,0,0,1,197,27.0,26,0,A,2,28,32104,14.0
Rural,Mid,West,Zone 4,5,0,3,4183,Company Owned,18,0,0,1,223,50.0,12,1,B+,1,11,16102,3.0
Rural,Small,South,Zone 1,3,0,3,4009,Company Owned,44,0,0,0,146,32.0,0,0,Unknown,0,21,8072,2.0
Rural,Mid,West,Zone 2,0,0,2,4850,Rented,36,0,0,1,191,36.0,21,0,C,3,12,29112,14.0
Rural,Mid,North,Zone 4,7,4,3,4672,Rented,61,1,0,1,263,38.0,18,0,A,1,26,22088,10.0
Rural,Mid,North,Zone 3,0,0,2,4469,Rented,67,0,0,0,219,19.0,9,0,C,5,19,12069,14.0
Rural,Mid,North,Zone 2,4,0,3,5163,Company Owned,55,0,0,1,176,27.0,19,0,A,6,12,24096,14.0
Rural,Mid,West,Zone 4,0,0,7,4960,Rented,33,0,0,0,213,25.0,9,0,C,1,26,12085,14.0
Rural,Mid,South,Zone 2,3,0,3,5390,Company Owned,30,0,0,1,152,42.0,18,0,C,5,32,25091,11.0
Rural,Mid,South,Zone 2,0,0,2,5070,Company Owned,32,0,0,1,219,43.0,22,0,A,6,1,28080,14.0
Rural,Large,North,Zone 6,3,1,2,6074,Rented,48,1,0,1,109,37.0,4,0,B+,2,23,5064,1.0
Rural,Large,South,Zone 6,1,1,3,4480,Rented,35,0,0,0,216,28.0,16,0,A,5,23,21108,14.0
Rural,Large,North,Zone 5,7,0,4,4798,Company Owned,60,0,0,0,122,37.0,16,0,B,4,17,19121,9.0
Rural,Large,West,Zone 6,0,2,3,5106,Company Owned,22,0,0,0,186,20.0,22,0,B+,3,6,26148,14.0
Rural,Large,West,Zone 5,3,0,3,4945,Company Owned,25,0,0,1,145,33.0,29,1,B,5,10,38147,22.0
Rural,Large,North,Zone 6,3,0,3,6277,Company Owned,15,0,0,1,193,20.0,32,0,C,4,23,42106,20.0
Rural,Mid,South,Zone 2,4,1,2,3805,Rented,51,0,0,0,129,20.0,34,1,A+,6,12,45092,21.0
Rural,Large,North,Zone 6,0,0,3,5801,Rented,31,1,0,1,215,28.0,15,0,B,6,23,18074,14.0
Rural,Large,North,Zone 5,2,0,4,4164,Rented,18,0,0,1,132,25.0,25,0,B+,3,24,31129,14.0
Rural,Large,West,Zone 6,6,2,4,5544,Company Owned,33,0,0,0,228,24.0,15,1,A+,2,6,20102,14.0
Rural,Mid,North,Zone 4,5,3,2,4784,Rented,50,0,0,0,175,19.0,6,1,C,1,26,8116,14.0
Rural,Mid,North,Zone 2,3,0,3,4160,Company Owned,46,0,0,1,189,35.0,9,0,C,3,1,13140,4.0
Rural,Small,South,Zone 1,4,0,3,4807,Company Owned,33,0,0,0,89,33.0,25,1,A+,3,3,32067,24.0
Rural,Large,North,Zone 6,1,0,4,5398,Company Owned,65,1,0,1,147,49.0,11,1,A,6,6,15073,14.0
Rural,Small,West,Zone 1,6,3,6,4941,Company Owned,34,0,0,1,161,37.0,6,1,A+,4,3,8132,14.0
Rural,Mid,South,Zone 2,3,0,2,4461,Rented,21,0,0,1,192,23.0,20,1,B,2,32,25142,16.0
Urban,Large,North,Zone 6,2,1,3,6111,Rented,40,0,0,0,122,36.0,18,1,B+,6,6,22089,14.0
Rural,Mid,East,Zone 4,6,3,7,4572,Rented,15,0,0,0,111,16.0,9,0,C,5,26,11108,14.0
Rural,Mid,West,Zone 3,1,5,5,3990,Company Owned,54,0,0,1,196,33.0,20,0,B,6,19,23120,14.0
Rural,Mid,West,Zone 4,6,0,3,4260,Company Owned,15,0,0,1,63,18.0,11,0,A,2,26,15107,14.0
Rural,Mid,West,Zone 4,3,0,2,5643,Rented,31,0,0,1,70,24.0,21,0,C,2,11,29068,15.0
Rural,Mid,South,Zone 2,1,0,3,5553,Company Owned,59,0,0,1,215,30.0,38,0,A+,3,32,52093,14.0
Rural,Small,West,Zone 1,7,2,4,5540,Company Owned,65,0,0,1,207,24.0,8,1,A,2,30,11067,14.0
Rural,Mid,South,Zone 3,3,1,2,5547,Company Owned,46,0,0,1,217,25.0,14,1,A+,4,19,19062,6.0
Rural,Mid,South,Zone 3,7,1,3,5345,Company Owned,48,0,0,1,60,37.0,5,0,A,2,19,7133,4.0
Rural,Mid,West,Zone 4,0,2,4,4439,Rented,46,0,0,0,128,30.0,25,0,B,2,26,28134,14.0
Rural,Mid,South,Zone 2,7,0,2,4332,Company Owned,25,0,0,1,163,30.0,7,0,C,1,32,9059,2.0
Rural,Large,North,Zone 5,3,3,3,3701,Company Owned,40,0,0,0,162,26.0,24,1,C,2,10,31121,22.0
Rural,Small,South,Zone 1,4,3,2,5573,Rented,63,0,0,0,233,17.0,13,0,A,5,21,17102,14.0
Urban,Large,North,Zone 6,7,2,2,5907,Rented,48,0,0,0,118,31.0,6,1,C,6,28,8057,14.0
Rural,Large,North,Zone 6,1,0,2,4394,Rented,40,0,0,0,137,24.0,35,0,A+,3,28,46136,14.0
Rural,Mid,West,Zone 2,2,0,3,4369,Company Owned,29,0,0,1,125,23.0,34,0,B+,2,1,40127,14.0
Rural,Mid,North,Zone 4,8,0,4,4361,Company Owned,56,0,0,1,163,35.0,25,1,A+,6,26,32144,16.0
Rural,Small,North,Zone 1,4,0,3,4830,Company Owned,36,0,0,1,106,25.0,38,1,B,5,16,49104,24.0
Rural,Large,West,Zone 5,0,0,3,4820,Company Owned,32,0,0,1,98,30.0,13,0,B,6,10,16090,14.0
Rural,Large,West,Zone 6,4,0,6,5070,Company Owned,36,0,0,0,110,36.0,8,0,A,2,6,10078,3.0
Rural,Large,South,Zone 5,4,0,1,4975,Rented,69,0,0,0,60,16.0,19,0,B,1,25,24089,10.0
Rural,Mid,South,Zone 2,3,0,3,4301,Company Owned,31,1,0,1,227,28.0,30,1,C,6,32,40083,25.0
Rural,Large,West,Zone 6,3,3,4,5515,Company Owned,29,0,0,0,66,27.0,19,1,A+,5,6,24128,15.0
Rural,Large,West,Zone 6,3,0,4,5581,Company Owned,41,0,0,1,157,28.0,38,1,A,4,6,53085,25.0
Rural,Small,South,Zone 6,5,0,2,6428,Rented,59,0,0,1,99,26.0,18,1,A+,5,2,23061,14.0
Rural,Mid,West,Zone 2,0,2,4,4448,Rented,49,0,0,0,55,18.0,25,0,B,3,12,28065,14.0
Rural,Mid,West,Zone 3,4,0,4,4451,Company Owned,59,1,0,1,243,40.0,18,0,B,6,19,23056,16.0
Rural,Large,North,Zone 6,8,2,3,4558,Rented,18,0,0,1,129,39.0,4,0,B,6,23,5119,14.0
Rural,Large,North,Zone 6,1,1,2,6527,Rented,34,0,0,0,99,18.0,30,1,B,3,28,36134,14.0
Rural,Mid,West,Zone 2,0,0,3,4331,Company Owned,68,0,0,1,177,31.0,18,0,B,6,18,22063,14.0
Rural,Small,North,Zone 6,0,2,3,5374,Company Owned,44,0,0,1,130,28.0,20,0,B,2,8,23133,14.0
Rural,Large,North,Zone 5,0,1,2,6107,Company Owned,17,0,0,1,165,32.0,28,0,A,4,24,36073,14.0
Rural,Mid,West,Zone 2,3,0,4,5243,Company Owned,44,0,0,1,146,29.0,25,0,A,2,1,32120,21.0
Rural,Large,North,Zone 6,5,0,3,5701,Rented,17,0,0,0,240,46.0,15,0,B,5,23,18065,10.0
Rural,Large,East,Zone 5,4,0,4,4846,Rented,16,0,0,0,201,22.0,34,0,B+,4,14,40147,21.0
Rural,Small,North,Zone 1,1,0,4,4250,Company Owned,36,0,0,1,57,24.0,5,0,B,2,21,6148,14.0
Rural,Mid,South,Zone 2,3,0,2,4516,Company Owned,57,0,0,1,101,35.0,17,0,B+,4,22,20100,15.0
Rural,Mid,West,Zone 3,1,2,2,4565,Rented,33,0,1,0,82,25.0,26,0,C,4,19,34077,14.0
Rural,Small,North,Zone 6,8,0,3,4249,Company Owned,69,1,0,1,174,20.0,19,0,B+,6,8,22142,22.0
Rural,Large,North,Zone 6,0,1,2,4715,Company Owned,65,1,1,1,121,33.0,21,0,A,5,29,28113,14.0
Rural,Small,West,Zone 1,4,1,2,4428,Company Owned,49,0,0,1,177,24.0,18,1,A+,6,3,23082,11.0
Rural,Small,South,Zone 6,5,0,3,3715,Company Owned,20,1,0,1,117,25.0,15,1,B,6,9,18071,12.0
Rural,Large,North,Zone 6,0,0,2,4899,Company Owned,64,0,0,1,94,29.0,20,0,A+,6,6,26060,14.0
Urban,Large,North,Zone 6,0,0,2,6350,Company Owned,34,0,1,1,250,28.0,24,0,A+,5,6,30077,14.0
Rural,Large,North,Zone 6,4,1,3,5406,Rented,45,0,0,1,151,33.0,19,0,B,6,28,23105,15.0
Rural,Mid,South,Zone 3,8,0,2,5698,Company Owned,59,0,0,1,168,38.0,12,0,B,6,27,14079,14.0
Rural,Small,West,Zone 1,7,0,3,3551,Company Owned,66,0,0,1,190,31.0,18,1,A+,2,3,23106,13.0
Rural,Mid,North,Zone 3,7,0,2,5480,Rented,51,0,0,1,101,41.0,4,0,A,2,27,5057,2.0
